"file","line","function_name","old_name","category","new_name","unit","notes"
"ssff_python_snack_pitch.R",246,"trk_snackp","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_swiftf0.R",293,"trk_swiftf0","F0","f0","fo[Hz]","Hz","lowercase, add unit"
"ssff_cpp_sptk_swipe.R",139,"trk_swipe","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_torch_pitch.R",178,"trk_torch_pitch","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_yaapt.R",325,"trk_yaapt","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_yin.R",204,"trk_yin","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_pm_pformantb.R",237,"trk_formantp","fm","formant","Fi[Hz]","Hz","Template: expands to F1[Hz], F2[Hz], ... (numFormants parameter)"
"ssff_python_pm_pformantpathb.R",235,"trk_formantpathp","fm","formant","Fi[Hz]","Hz","Template: expands to F1[Hz], F2[Hz], ... (numFormants parameter)"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Degree of voice breaks","metadata","Degree of voice breaks","","No change needed"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Fraction of locally unvoiced frames","metadata","Fraction of locally unvoiced frames","","No change needed"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Mean autocorrelation","metadata","Mean autocorrelation","","No change needed"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Mean period","metadata","Mean period","","No change needed"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Number of periods","metadata","Number of periods","","No change needed"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Number of voice breaks","metadata","Number of voice breaks","","No change needed"
"list_python_pm_pvoice_report.R",229,"lst_voice_reportp","Standard deviation of period","metadata","Standard deviation of period","","No change needed"
"ssff_python_sptk_reaper.R",268,"nonopt_reaper","corr","metadata","corr","","No change needed"
